row,token_address,name,create_block,create_time,create_hour_utc,create_dow,creator,deployer_prior_launches,deployer_prior_grads,deployer_grad_rate,dev_buy_usd,dev_sell_usd,dev_sell_pct_supply,dev_net_usd,kol_count_final,kol_count_at_entry,combo_k1k2,combo_k1k2k3,combined_notional_k1k2_usd,kol1_7d_win_rate,kol2_7d_win_rate,kol1_name,kol1_buy_block,kol1_buy_usd,kol1_sell_usd,kol1_pnl_usd,kol1_held_at_entry,kol1_holder_count,kol2_name,kol2_buy_block,kol2_buy_usd,kol2_sell_usd,kol2_pnl_usd,kol2_held_at_entry,kol2_holder_count,kol1_kol2_delta_blocks,kol3_name,kol3_buy_block,kol3_buy_usd,kol3_sell_usd,kol3_pnl_usd,kol3_holder_count,kol2_kol3_delta_blocks,kol4_name,kol4_buy_block,kol4_buy_usd,kol4_sell_usd,kol4_pnl_usd,kol4_holder_count,kol5_name,kol5_buy_block,kol5_buy_usd,kol5_sell_usd,kol5_pnl_usd,kol5_holder_count,holder_count_at_entry,holder_growth_kol1_to_kol2,holder_growth_kol2_to_entry,entry_mcap_usd,bonding_curve_pct,age_blocks_at_entry,peak_mcap_usd,low_mcap_usd,graduated,peak_mult_vs_slot2_entry,bnb_price_usd,btc_4h_change_pct,bnb_4h_change_pct,ml_score,current_mcap_usd,signal_mode,signal_mode_label,position_bnb,sl_x,signal_block,signal_tx,deployer_score_signal,deployer_success_rate_signal,deployer_successful_signal,deployer_total_tokens_signal
1,0xa233f0058498f08a72538a7b36c091cf22a94444,官方报道的网红鲸鱼,89727026,2026-03-31T03:07:57.324+00:00,12,2,0x46f3554d87e1bfaaad093de887aec751958c6b3b,3,0,0.0000,0,633,0.0000,-633,2,2,D→B,,88.0228,,,D,89727159,56.8664,,,,54,B,89727257,31.1564,,,,125,98,,,,,,,,,,,,,,,,,,,,125,71.0000,,13236,0.3133,231,,,,,609.32,0.0037,0.0000,0.0203,12822,0,NONE,0.0000,0.0000,0x5592119,0xb3a23ca5da4e8a56c23e7e7319dba8b1968510174893e9e5cd02a16b7c1e3ce3,4.00,0.0000,0,3
2,0xa81c564f48169e79a9d9c0e919e27b8ee0704444,Ask Naomi,89728683,2026-03-31T03:18:47.521+00:00,14,2,0xb854c84c540e711356778bc46d929f25c3188430,1,0,0.0000,0,592,0.0000,-592,2,2,D→B,,105.4960,,,D,89728689,51.7169,,,,9,B,89728699,53.7791,,,,34,10,,,,,,,,,,,,,,,,,,,,34,25.0000,,6477,0.2467,16,,,,,609.32,0.0037,0.0000,0.0211,10350,0,NONE,0.0000,0.0000,0x55926bb,0x22878554c943ffc018f2c6f3c9ee038abc7682baeaac3558c09a739ca85b7eb6,0.00,0.0000,0,1
3,0xaa68ef48f6cf7cd313165996c5308ef857334444,Ask Naomi,89728844,2026-03-31T03:19:55.285+00:00,14,2,0x92d693a469cee71422af071b70df6d24125da075,122,17,0.1393,0,0,0.0000,-0,2,2,D→C,,91.3600,,,D,89728851,53.2301,,,,8,C,89728854,38.1299,,,,19,3,,,,,,,,,,,,,,,,,,,,19,11.0000,,9085,0.2169,10,,,,,609.32,0.0037,0.0000,0.0450,10209,0,NONE,0.0000,0.0000,0x5592756,0x238d97134a02548d0c32f2cbb6b6a4a173a2cc7f3388e46d8065c17730ddc00b,16.76,0.1393,17,122
4,0xa408dca4afcee949abf0643671cd8e1359674444,抖音爆火歪鼻小猫,89729244,2026-03-31T03:32:04.952+00:00,14,2,0xac0ca59b4afe2082e0a2a2b3d96e154b364a3ea4,6,2,0.3333,0,2898,0.0000,-2898,2,2,B→A,,144.1738,,,B,89729247,40.3534,,,,5,A,89730468,103.8204,,,,509,1221,,,,,,,,,,,,,,,,,,,,509,504.0000,,5439,0.7609,1224,,,,,609.32,0.0037,0.0000,0.0947,36301,0,NONE,0.0000,0.0000,0x5592da4,0x005340d26efd430bccef265bf3152cf5ddb27ebd146878b71943823c75406c4f,26.78,0.3333,2,6
5,0x94ffdcc93597c60e0694046366f5ad8e56f24444,柚子叶,89731784,2026-03-31T03:41:56.648+00:00,16,2,0xd4367bfd77bb1eef476cb8e570ab1cb0a576a66d,156,15,0.0962,0,0,0.0000,-0,2,2,D→B,,97.0071,,,D,89731787,64.8865,,,,9,B,89731788,32.1205,,,,14,1,,,,,,,,,,,,,,,,,,,,14,5.0000,,7445,0.1458,4,,,,,609.32,0.0037,0.0000,0.1218,7110,0,NONE,0.0000,0.0000,0x55932cc,0x35387e7a112ed5aad1b8ae10d4b4379128f23fd65e1d7eb047dbe1098431f1b4,13.14,0.0962,15,156
6,0xff8d082b9ea68f20e32824d98280eded1db44444,CZ个人官网概念,89730375,2026-03-31T03:47:55.922+00:00,15,2,0xc694bc91de4b6397abfbabc9d1293c4ffc2f2863,28,1,0.0357,0,680,0.0000,-680,2,2,B→A,,113.2663,,,B,89731128,28.9675,,,,181,A,89732582,84.2988,,,,,1454,,,,,,,,,,,,,,,,,,,,181,,,13783,0.7238,2207,,,,,609.32,0.0037,0.0000,0.0751,33902,0,NONE,0.0000,0.0000,0x55935e6,0x9e77de45f99635b011a13478424842c681dc651effec4e53a877a1f77658f336,11.92,0.0357,1,28
7,0xaf7c7ecaa48430f663ef01bd94520f38d0a54444,it之家刚发的新闻苹果吉祥物,89713518,2026-03-31T03:57:36.586+00:00,1,2,0x47ae16b879bafb7dd0b91f29e4e8c337fc5d2678,58,7,0.1207,0,0,0.0000,-0,2,2,D→A,,218.1661,,,D,89719656,58.6898,,,,,A,89733873,159.4762,,,,,14217,,,,,,,,,,,,,,,,,,,,0,,,53742,1.0000,20355,,,,,609.32,0.0037,0.0000,0.1460,53742,0,NONE,0.0000,0.0000,0x5593af1,0xa129f03083bb01e8f12d3dc84e331d9d5f73419889336a1bff363c57257d0d5d,14.43,0.1207,7,58
8,0x2c94f024148133c8dd947219867d98fef71b4444,我只是个无名好人,89734002,2026-03-31T04:02:11.811+00:00,18,2,0x47ae16b879bafb7dd0b91f29e4e8c337fc5d2678,58,7,0.1207,0,592,0.0000,-592,2,2,A→G,,121.3205,,,A,89734205,85.6955,,,,187,G,89734482,35.6250,,,,304,277,,,,,,,,,,,,,,,,,,,,304,117.0000,,16995,0.2108,480,,,,,609.32,0.0037,0.0000,0.0062,9129,0,NONE,0.0000,0.0000,0x5593d52,0xd84ed265d9de808d8dffbcf483bdf3d326fe7ee842d91f9fbd4222eb701e07aa,14.43,0.1207,7,58
9,0xbeae4dfc37b0462a20649f9dc94eab0039ad4444,汉典新收录模因正式定义meme,89736759,2026-03-31T04:21:51.243+00:00,20,2,0x7a1d494fede34d42156c81343b442caec63b0bf0,0,0,0.0000,0,7,0.0000,-7,2,2,B→G,,74.8242,,,B,89736795,41.9758,,,,23,G,89737106,32.8485,,,,36,311,,,,,,,,,,,,,,,,,,,,36,13.0000,,7014,0.0318,347,,,,,609.32,0.0037,0.0000,0.7748,4178,1,PROBE,0.0300,0.6000,0x5594792,0x0b6d312ad121b0648b0cbc650d096cdc21850bfe99952c7c027a5f30b86b189d,0.00,0.0000,0,0
10,0x03b48e3b8f93791a6968c0de8d5a5562b9314444,Apple Intelligence,89737098,2026-03-31T04:22:42.033+00:00,21,2,0xfd89322f0b1566328268e9bf8bb3737d5f5a3baa,15,2,0.1333,0,561,0.0000,-561,2,2,B→C,,83.3707,,,B,89737103,43.7669,,,,5,C,89737215,39.6038,,,,10,112,,,,,,,,,,,,,,,,,,,,10,5.0000,,5481,0.0497,117,,,,,609.32,0.0037,0.0000,0.7147,4585,1,PROBE,0.0300,0.6000,0x55947ff,0xec0f2467b5ad9427c63ab333182b29a5beac9e3de41ae33325f94f3755441802,19.79,0.1333,2,15
