row,token_address,name,create_block,create_time,create_hour_utc,create_dow,creator,deployer_prior_launches,deployer_prior_grads,deployer_grad_rate,dev_buy_usd,dev_sell_usd,dev_sell_pct_supply,dev_net_usd,kol_count_final,kol_count_at_entry,combo_k1k2,combo_k1k2k3,combined_notional_k1k2_usd,kol1_7d_win_rate,kol2_7d_win_rate,kol1_name,kol1_buy_block,kol1_buy_usd,kol1_sell_usd,kol1_pnl_usd,kol1_held_at_entry,kol1_holder_count,kol2_name,kol2_buy_block,kol2_buy_usd,kol2_sell_usd,kol2_pnl_usd,kol2_held_at_entry,kol2_holder_count,kol1_kol2_delta_blocks,kol3_name,kol3_buy_block,kol3_buy_usd,kol3_sell_usd,kol3_pnl_usd,kol3_holder_count,kol2_kol3_delta_blocks,kol4_name,kol4_buy_block,kol4_buy_usd,kol4_sell_usd,kol4_pnl_usd,kol4_holder_count,kol5_name,kol5_buy_block,kol5_buy_usd,kol5_sell_usd,kol5_pnl_usd,kol5_holder_count,holder_count_at_entry,holder_growth_kol1_to_kol2,holder_growth_kol2_to_entry,entry_mcap_usd,bonding_curve_pct,age_blocks_at_entry,peak_mcap_usd,low_mcap_usd,graduated,peak_mult_vs_slot2_entry,bnb_price_usd,btc_4h_change_pct,bnb_4h_change_pct,deployer_prior_avg_peak_mult,deployer_prior_win_rate,deployer_rug_proxy_rate,deployer_reputation_score
11,0xa263d50302fe8586ec631f442abfff4318e74444,你们才是主角,86751706,2026-03-15T14:23:36Z,14.0,6.0,0x92d693a469cee71422af071b70df6d24125da075,0,0,0.0,0.0,874,0.0944009633,-874.0,4,1,D→A,D→A→E,150,0.0,0.0,D,86751711,73,,,False,7,A,86751750.0,77.0,,,False,101.0,39.0,E,86752037.0,0.0,,,0.0,287.0,G,86752138.0,0.0,,,0.0,,,,,,,0,13.428571428571429,,9256,0.0,5,9923,9923,True,2.2276361279170267,659.65,-0.4985703529580745,-0.296229124159287,0.0,0.0,0.0,0.0
12,0xe0ea52cfe226708fdd9ac00aa868f50b14d74444,自己才是主角,86751998,2026-03-15T14:25:47Z,14.0,6.0,0xee0b2f6f7da9debb96a6f4ac339d8363fc603a9d,0,0,0.0,318.2305499289336,159,0.0399185336,159.23054992893356,2,1,A→C,,59,0.0,,A,86752015,30,,,True,8,C,86752023.0,29.0,,,False,27.0,8.0,,,,,,,,,,,,,,,,,,,,8,2.375,-0.7037037037037037,3986,0.0,17,7896,3705,False,2.31961866532865,659.69,-0.4985703529580745,-0.296229124159287,0.0,0.0,0.0,0.0
14,0x5244bce92532581a3036680d1205874141a24444,柯基,86752571,2026-03-15T14:30:05Z,14.0,6.0,0xd4367bfd77bb1eef476cb8e570ab1cb0a576a66d,0,0,0.0,0.0,2764,0.261115737,-2764.0,5,1,D→C,D→C→B,129,0.0,0.0,D,86752574,66,,,False,6,C,86752590.0,63.0,,,False,49.0,16.0,B,86752654.0,0.0,,,136.0,64.0,A,86753048.0,0.0,,,0.0,G,86753561.0,0.0,,,0.0,0,7.166666666666667,,10585,0.2301,3,54079,11411,True,0.9487009919697684,659.75,-0.4985703529580745,-0.296229124159287,0.0,0.0,0.0,0.0
24,0xf7b0d361baa2ca9bd44a366947b7deb995724444,5,86759001,unknown,,,0xc9185dd5696e45e743c26270ae83c6c80b9818a4,0,0,0.0,0.0,950,0.0798370672,-950.0,3,1,C→A,C→A→D,98,0.25,0.0,C,86759148,28,,,False,0,A,86759175.0,70.0,,,False,0.0,27.0,D,86759297.0,57.0,,,0.0,122.0,,,,,,,,,,,,,0,,,11903,0.2645,147,3795,3795,False,1.8045870788876757,660.21,,,0.0,0.0,0.0,0.0
27,0xf4d17be2ee2040d2e5734ef53b0bb0cf53e74444,Binancemaxxx͏ing,86780696,2026-03-15T18:01:18Z,18.0,6.0,0x815f173371323a3f8ea9bf15059e91c9577ef7a7,0,0,0.0,0.0,3785,0.0648335745,-3785.0,3,1,C→E,C→E→A,203,0.2,0.0,C,86780719,141,,,False,0,E,86780855.0,62.0,,,False,0.0,136.0,A,86781884.0,71.0,,,0.0,1029.0,,,,,,,,,,,,,62,,,58378,0.45,23,56217,3976,False,1.005875501044914,661.88,0.0961091329697093,0.1212690809319459,0.0,0.0,0.0,0.0
32,0x30655403d606c4d131a96d060f3fc27954cd4444,心死翼未伤意可去远方,86837491,2026-03-16T01:07:22Z,1.0,0.0,0x78ea14991fd7c4cb38796a5b4b17ad93081e02b9,0,0,0.0,0.0,553,0.0382609434,-553.0,2,1,A→C,,424,0.0,0.125,A,86839601,82,,,False,0,C,86856308.0,342.0,,,False,0.0,16707.0,,,,,,,,,,,,,,,,,,,,177,,,14459,0.3203,2110,59320,4132,False,5.5655301196486615,672.56,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
41,0xf6f05d26f62eb4f9b7edf2b84de0b25b6a124444,flow,86846011,2026-03-16T02:11:19Z,2.0,0.0,0x78667855f74bbe1e64718a97f33a824fab79ff09,0,0,0.0,0.0,0,0.0,0.0,2,1,C→A,,34,0.2727272727272727,0.0952380952380952,C,86846089,34,,,False,0,A,86846772.0,0.0,,,False,0.0,683.0,,,,,,,,,,,,,,,,,,,,30,,,9598,0.1963,78,10331,3878,False,0.9595749114398832,675.56,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
44,0xf35c2cfe8208f73fa8ae05019361ddaca9b94444,A股刮起HALO风,86847639,2026-03-16T02:23:32Z,2.0,0.0,0x1ef832120aa68c650e84df4769c5d9616d914014,1,0,0.0,0.0,0,0.0,0.0,2,1,C→A,,65,0.2307692307692307,0.0869565217391304,C,86847689,36,,,False,0,A,86847751.0,29.0,,,False,0.0,62.0,,,,,,,,,,,,,,,,,,,,15,,,5645,0.0716,50,4939,3520,False,1.2705048715677592,672.87,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
45,0x1568f8422e201bcbaec1fd80575a1bfe31774444,美国驻华大使发布,86848055,2026-03-16T02:26:39Z,2.0,0.0,0xc694bc91de4b6397abfbabc9d1293c4ffc2f2863,0,0,0.0,0.0,189,0.0494055947999999,-189.0,2,1,C→A,,117,0.2142857142857142,0.0833333333333333,C,86848063,29,,,False,0,A,86848199.0,88.0,,,False,0.0,136.0,,,,,,,,,,,,,,,,,,,,10,,,3830,0.1159,8,3830,3830,False,5.873890339425588,672.62,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
52,0xf695314f75069e40b37af73461f247be1ea74444,好兆头,86850045,2026-03-16T02:41:35Z,2.0,0.0,0x47ae16b879bafb7dd0b91f29e4e8c337fc5d2678,0,0,0.0,0.0,0,0.0,0.0,2,1,A→C,,43,0.0689655172413793,0.2352941176470588,A,86850052,0,,,False,0,C,86850055.0,43.0,,,False,0.0,3.0,,,,,,,,,,,,,,,,,,,,0,,,0,0.0,7,3868,3868,False,,671.4,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
56,0x0460d5b047dd71c82ee3132cca5b9f45ad734444,亡羊补牢,86850697,unknown,,,0x23cee3b38998893f880c4c8f8e297e7c77313761,3,0,0.0,0.0,0,0.0,0.0,2,1,A→C,,540,0.0625,0.2105263157894736,A,86850705,50,,,False,0,C,86851366.0,490.0,,,False,0.0,661.0,,,,,,,,,,,,,,,,,,,,6,,,6668,0.0,8,58800,7415,True,8.818236352729453,671.89,,,0.0,0.0,0.0,4.0
60,0x18082d03bd5e59e8128fdb925edfbd42b5ab4444,Tikky,86851855,unknown,,,0x8dbef7eee8c691dc802f8e563112eb3adcbb5b23,2,0,0.0,0.0,0,0.0663647768,0.0,2,2,D→C,,38,0.1666666666666666,0.238095238095238,D,86851883,0,,,False,0,C,86851884.0,38.0,,,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,0,,,0,0.0,28,17153,17153,False,,672.82,,,0.0,0.0,0.0,0.0
71,0x7e186831a5e647d802d753fa249489d58bdf4444,binance wife,86854245,2026-03-16T03:13:06Z,3.0,0.0,0xa37062d5ad23fca7d41ad83137a9c438ae21349a,1,0,0.0,0.0,0,0.0,0.0,2,1,C→A,,85,0.1666666666666666,0.0833333333333333,C,86854267,32,,,False,0,A,86854359.0,53.0,,,False,0.0,92.0,,,,,,,,,,,,,,,,,,,,0,,,8228,0.0,22,7384,7384,True,2.1892318911035487,673.55,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
73,0x1d263957e8844099c3533dfb2d92560764164444,DOGE kids,86855459,2026-03-16T03:22:12Z,3.0,0.0,0x92d693a469cee71422af071b70df6d24125da075,2,1,0.5,0.0,774,0.0944215237999999,-774.0,3,2,D→C,D→C→A,122,0.125,0.1612903225806451,D,86855464,56,,,True,0,C,86855465.0,66.0,,,False,0.0,1.0,A,86855617.0,78.0,,,367.0,152.0,,,,,,,,,,,,,8,,,8196,0.0,5,3956,3956,False,1.6151781356759394,673.79,1.0410868602387646,0.9944046187868332,2.227636,0.5,0.0,41.9553
76,0x2ffb13a5105a0e6650f63c830a551fd28de14444,Chibification,86856316,2026-03-16T03:28:38Z,3.0,0.0,0x0644933bb8a1d38a56c3207981950ffd12de0fb2,0,0,0.0,0.0,0,0.0798370672,0.0,4,1,D→B,D→B→E,60,0.1,0.0,D,86856352,0,,,False,0,B,87467001.0,60.0,,,False,0.0,610649.0,E,87467244.0,28.0,,,2.0,243.0,A,87467705.0,0.0,,,0.0,,,,,,,0,,,0,0.0,36,0,0,False,,676.3,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
79,0x78327a88f89e7fdaf5f55e1db270ca4415c84444,Gigachad,86856572,2026-03-16T03:30:33Z,3.0,0.0,0xfd4547b86af7cfb385b76d192567cb75b77f88c7,0,0,0.0,0.0,728,0.0798370672,-728.0,2,1,D→C,,83,0.0909090909090909,0.15625,D,86856657,41,,,False,0,C,86856709.0,42.0,,,False,0.0,52.0,,,,,,,,,,,,,,,,,,,,38,,,9121,0.0,85,11127,3520,False,0.994737419142638,676.33,1.0410868602387646,0.9944046187868332,0.0,0.0,0.0,0.0
