deployer,total_tokens,rugged,honeypots,successful,avg_lifespan_hours,success_rate,rug_rate,score,first_seen_block,last_seen_block
0x0026a784ac97757975ef423c175587da807d9691,1,0,0,0,0.0,0.0,0.0,0.0,88425282,88425282
0x002b5b91ab6ed2284b19fc71fb88c1131c97dddd,1,0,0,0,0.0,0.0,0.0,0.0,87179011,87179011
0x0095e63e614dc57c2b4804a6c43ae6d6eea1f052,1,0,0,0,0.0,0.0,0.0,0.0,87255872,87255872
0x00b9b2922c858cb892a8fef3a0bf90e0a82ea3dd,1,0,0,1,0.0,1.0,0.0,39.037,87305578,87305578
0x012d43a619a0b314f20899371ee0275566e36bf1,1,0,0,0,0.0,0.0,0.0,0.0,88773483,88773483
0x018ac92d168fdb246b5165a3b4cd27b79cbf88ff,1,0,0,0,0.0,0.0,0.0,0.0,87311758,87311758
0x02c89cb00da8aec602587b2f1bb5be7e278a1801,1,0,0,0,0.0,0.0,0.0,0.0,87478480,87478480
0x02f1745740dcb7013b122175611c1adbacceedd7,1,0,0,0,0.0,0.0,0.0,0.0,86856946,86856946
0x03cea8203876b0efbcc7db79f6d90938be91357c,1,0,0,0,0.0,0.0,0.0,0.0,89159884,89159884
0x0461dd279e934623970b730b4cc603e8deaf52ac,1,0,0,0,0.0,0.0,0.0,0.0,89057937,89057937
0x049ac9610a0ceddae2b267f06f6a666176184bf6,49,0,0,4,0.0,0.081633,0.0,24.4405,86856910,89187634
0x04ef3b4c776b9ac67b7455c6a9d654c8bfe70226,1,0,0,0,0.0,0.0,0.0,0.0,87260470,87260470
0x051a53d095d277e22e3d905b10d3bbe75f0ac508,3,1,0,0,0.0,0.0,0.333333,-20.2189,87895542,89201659
0x0644933bb8a1d38a56c3207981950ffd12de0fb2,11,0,0,0,0.0,0.0,0.0,9.8152,86856316,87269597
0x064bc046a5c630b932eab7025999493cf4a0be09,12,0,0,2,0.0,0.166667,0.0,14.6667,86749717,88982210
0x065922e667025d9abbbc45695ad2dce9bdd413d7,2,0,0,0,0.0,0.0,0.0,0.0,88012217,88408367
0x06713c73a2478998711c4d17003e76b2f4dd42ee,1,0,0,0,0.0,0.0,0.0,1.9178,88294364,88294364
0x08bae05a3c42adc6cb9dd29e6e304a151b03c050,2,0,0,0,0.0,0.0,0.0,0.0,88087250,88850252
0x08c4ce677e965953d6fcb715f4d61ea848fb051a,4,0,0,0,0.0,0.0,0.0,4.0,86940684,89046969
0x08dfc48e370012343f25749e63c11ce9c41ea210,1,0,0,0,0.0,0.0,0.0,0.0,87486203,87486203
0x0934524b6d1a3939c0b502c0709196ae44e537e2,50,2,0,6,0.0,0.12,0.04,14.8255,86748749,88993956
0x0950e275d445fadffa6090d5bbb4279a6ab6d1aa,1,0,0,0,0.0,0.0,0.0,0.0,88008557,88008557
0x0a5404adc5b1a08525bb63f63eaef60c8618c5da,1,0,0,0,0.0,0.0,0.0,0.0,88412819,88412819
0x0aeda175d27d2208092a01aab9fbfb2da7d72b32,6,0,0,2,0.0,0.333333,0.0,33.1991,87660430,88998230
0x0cbf80cdda815e0ce42da8faed2272367e03a599,1,0,0,0,0.0,0.0,0.0,0.0,87250633,87250633
0x0d0e8b8e3da668590836ae04b9e0f8102b91ff73,1,0,0,0,0.0,0.0,0.0,0.0,88274738,88274738
0x0d146564c764925787927f900cba9629b9f2a2b0,1,0,0,0,0.0,0.0,0.0,0.0,86862443,86862443
0x0dd6bc75351b491e458e98bf0b62dbe7bf99938f,2,0,0,0,0.0,0.0,0.0,3.0082,86850117,86893725
0x10a887b8c129d6fff4414cfd46000930bc0a5c5d,1,0,0,0,0.0,0.0,0.0,0.0,88205261,88205261
0x10b12f5be17ff27c6196008dac1e4b6877a1c7aa,3,0,0,3,0.0,1.0,0.0,72.8048,86868411,88755156
0x11086a9a90cf41bddcb38c4e3c27e55748ed88f4,3,0,0,0,0.0,0.0,0.0,6.7107,86890260,86922909
0x11128d52f3b31c814116ce84bf63a3ed45f87d0b,1,0,0,1,0.0,1.0,0.0,40.3402,86904020,86904020
0x114c14e3ebd5278680baad702fd468818e7ba356,2,0,0,0,0.0,0.0,0.0,0.0,89033252,89044115
0x12364064102953c83f0424c034179c57d8f83348,1,0,0,0,0.0,0.0,0.0,0.0,88999046,88999046
0x12e86cbbd9fc93b46b1134dce381d3161429adca,1,0,0,0,0.0,0.0,0.0,0.0,87227756,87227756
0x143f09c01088bb17226bdb221bf703cc5960d4dc,1,0,0,0,0.0,0.0,0.0,3.9975,87651536,87651536
0x147fc5ee41f3c98d46fe190098b4fc28b66d3018,65,4,0,4,0.0,0.061538,0.061538,10.5449,87316665,89251044
0x14e2b0cc3b8f341cc3ce36482689c57bb65d6dee,1,0,0,0,0.0,0.0,0.0,0.0,87484209,87484209
0x1596a456fc3cfbcb24a7de6049d05de44676dfe2,2,0,0,0,0.0,0.0,0.0,2.4318,87448297,87453907
0x15b8ceec9120d30c7284d9d5eee9efb3659211ef,3,0,0,0,0.0,0.0,0.0,4.0,87041116,87254844
0x163faa4f5a74270a022bb0368de20fd7ba317b34,2,0,0,0,0.0,0.0,0.0,2.7277,87045840,88367529
0x165a0bfe6c53228efb7ad3b43c25244a168e2cbe,1,0,0,0,0.0,0.0,0.0,0.0,88453620,88453620
0x16ea412315daeb6d4e14f4bafa50ae35749dab3f,2,0,0,0,0.0,0.0,0.0,0.0,88204011,88420317
0x170332b75c0859a39bf7288f6cbf0db94bb1f567,17,0,0,0,0.0,0.0,0.0,10.9724,87041780,89178442
0x17bb3f846ef1dd12d42a25475f75f2225f24039b,3,0,0,0,0.0,0.0,0.0,4.0,87261391,88434412
0x17c7a505f37d0634eeeed79e1ce046e293947e7d,3,0,0,0,0.0,0.0,0.0,4.0,88221253,89059948
0x193575b640ccd6c079ce01aebc75190f13c6b22c,1,0,0,0,0.0,0.0,0.0,0.0,88399012,88399012
0x195eedd642ae54d60343483704bf7c62af5c8419,8,0,0,1,0.0,0.125,0.0,18.558,86920320,89214014
0x19a150e0196906ea0d777d4a3e1f807d4fe60777,3,0,0,1,0.0,0.333333,0.0,20.7924,88101143,88862083
0x19c6ddf40903c6b62f0503c145e6c8d8697a7624,1,0,0,0,0.0,0.0,0.0,3.4122,87243354,87243354
0x1a1fc810b172467702d4e7b5ae1c46090b2a275f,3,0,0,1,0.0,0.333333,0.0,19.8803,88098224,89060164
0x1ab7857bb9593abdd922061955e9a16a5c201226,1,0,0,0,0.0,0.0,0.0,0.0,87148203,87148203
0x1b2ac545d04b6de69f9a7d22fdb5c280d8637f05,6,0,0,0,0.0,0.0,0.0,8.0,86924471,87085393
0x1bdff8298cfef143e63bfdfe8a84315b88a960aa,1,0,0,0,0.0,0.0,0.0,0.0,87118433,87118433
0x1be0ab63359f49226210c90be88d6165975c0f05,1,0,0,0,0.0,0.0,0.0,0.0,88805684,88805684
